,network,streaming,imdb,mentions,score
Malcolm in the Middle,FOX,N/A,tt0212671,2,12
The Magicians,BBC One,N/A,tt1830351,2,12
Detectorists,BBC Four,N/A,tt4082744,2,12
The Magician,NBC,N/A,tt0069606,2,12
Trapped,National Geographic Channel,N/A,tt1108694,2,12
Derry Girls,Channel 4,N/A,tt7120662,2,12
Little Women,BBC One,N/A,tt0168962,2,12
Trap,OCN,N/A,tt9537396,2,12
Killing It,,Peacock,tt14129378,2,12
Loot,,Apple TV+,tt14271498,2,12
Glue,E4,N/A,tt3868832,2,11
Money,BBC Two,N/A,tt1560581,2,11
Alien,FX,Hulu,tt13623632,2,11
Sul,RTP1,N/A,tt7795640,2,11
Pretty Little Liars,,Viu,tt11911880,2,10
Intelligence,,Sky Go,tt9454736,2,10
The Watch,BBC America,N/A,tt8080292,2,10
Camp,NBC,N/A,tt2708560,2,10
Coming Up,Channel 4,N/A,tt0406404,2,10
Related,The WB,N/A,tt0460671,2,10
Limit,TV Tokyo,N/A,tt2889734,2,10
Dive,BBC Two,N/A,tt1458547,2,10
Little Demon,FXX,N/A,tt12198014,2,10
Heroes,CCTV-8,N/A,tt12793360,2,9
Monk,USA Network,N/A,tt0312172,2,9
12 Monkeys,Syfy,N/A,tt3148266,2,9
The Outsider,HBO,N/A,tt8550800,2,9
Leaving,BBC Two,N/A,tt0086747,2,9
Monkey,NTV,N/A,tt0078659,2,9
Obsessed,A&E,N/A,tt1439495,2,9
The Outs,,Vimeo,tt2587452,2,9
Outsider,TV2,N/A,tt2558018,2,9
Devilman,TV Tokyo,N/A,tt0288355,2,9
Foundation,,Apple TV+,tt0804484,2,9
Baby,,Netflix,tt7645192,2,9
Random,,YouTube,tt6680800,2,9
Monarch,FOX,N/A,tt11091696,2,9
American Gigolo,,Showtime on Demand,tt4257262,2,9
New World,,Netflix,tt15496866,2,9
Shameless,Channel 4,N/A,tt0377260,2,8
One Love,BOUNCE TV,N/A,tt3743326,2,8
The Spa,Sky Witness,N/A,tt2692508,2,8
The Terror,AMC,N/A,tt2708480,2,8
Peacemaker,,HBO Max,tt13146488,2,8
Terror,Viceland,N/A,tt6304582,2,8
Mythic Quest,,Apple TV+,tt8879940,2,8
Feel Good,,Netflix,tt10098620,2,8
The Responder,,BBC iPlayer,tt11899030,2,8
Exception,,Netflix,tt14825954,2,8
The Newsroom,CBC,N/A,tt0115291,2,7
UnREAL,,Hulu,tt3314218,2,7
Gun,ABC,N/A,tt0118330,2,7
Pitch,Canal+,N/A,tt10186972,2,7
The Night Of,HBO,N/A,tt2401256,2,7
Penny Dreadful,Showtime,N/A,tt2628232,2,6
Seinfeld,NBC,N/A,tt0098904,2,6
Humans,Channel 4,N/A,tt4122068,2,6
Catastrophe,Super Écran,N/A,tt5955622,2,6
