,mentions,score,streaming,network
The Critic,2,10,N/A,FOX
Tabloid,2,10,N/A,Investigation Discovery
50/50,2,10,N/A,BBC One
Nature,2,10,N/A,PBS
Curiosity,2,10,N/A,Discovery Channel
Rebellion,2,10,N/A,RTÉ ONE
Cheat,2,10,N/A,ITV
Devils,2,10,N/A,Sky Atlantic
Wheels,2,10,N/A,NBC
I Quit,2,10,N/A,Discovery Channel
Equal,2,10,HBO Max,
Rebel,2,10,N/A,ABC
Heels,2,10,N/A,STARZ
The Rebel,2,10,filimo,
The Others,1,10,N/A,NBC
Breathe,1,10,Prime Video,
Brave New World,1,10,Peacock,
New World,1,10,Netflix,
Taken,4,9,N/A,NBC
Homeland,2,9,N/A,Showtime
NCIS,2,9,N/A,CBS
12 Monkeys,2,9,N/A,Syfy
The Watcher,2,9,Netflix,
Umbre,2,9,HBO Go,
Fish,2,9,N/A,ABC
Broken,2,9,Netflix,
Forgotten,2,9,N/A,ITV
Donna,2,9,Yle Areena,Yle TV2
Tales from the Loop,2,9,Prime Video,
Keys,2,9,Brat,
Broke,2,9,N/A,CBS
Watcher,2,9,N/A,OCN
The Last of Us,2,9,N/A,HBO
Asur,2,9,Voot,
Echo 3,2,9,Apple TV+,
Alien,2,9,N/A,FX
Lust,2,9,HBO Max,
The Captain,2,9,N/A,ESPN
Titanic,1,9,N/A,ITV
War of the Worlds,1,9,myCANAL,
Stacked,1,9,N/A,FOX
Conversations with a Serial Killer,1,9,N/A,Sky Witness
Making It,1,9,N/A,NBC
Invincible,1,9,Prime Video,
Servant,1,9,Apple TV+,
Physical,1,9,Apple TV+,
Cyberpunk: Edgerunners,1,9,Netflix,
Express,1,9,Lionsgate+,
The Honourable Woman,4,8,N/A,BBC Two
The Shadow Line,4,8,N/A,BBC Two
Black Earth Rising,4,8,N/A,BBC Two
Honour,4,8,N/A,ITV
Twin,3,8,NRK TV,
Mine,3,8,N/A,tvN
The Wire,2,8,N/A,HBO
Old School,2,8,N/A,ABC
And Then There Were None,2,8,N/A,BBC One
The Mole,2,8,Netflix,
Beyond,2,8,N/A,FreeForm
The Terror,2,8,N/A,AMC
Witness,2,8,N/A,HBO
Fear,2,8,N/A,MTV
Signed,2,8,N/A,VH1
The Thing,2,8,N/A,NBC
Guillermo del Toro's Cabinet of Curiosities,2,8,Netflix,
Slow Burn,2,8,N/A,EPIX
Go Ahead,2,8,N/A,Hunan TV
The Sex Lives of College Girls,2,8,HBO Max,
Marc,2,8,N/A,ITV
The Santa Clauses,2,8,Disney+,
Person of Interest,1,8,N/A,CBS
Parenthood,1,8,N/A,NBC
How I Met Your Mother,1,8,N/A,CBS
The After,1,8,Prime Video,
Sirens,1,8,N/A,Channel 4
Babylon,1,8,N/A,Tokyo MX
Neon Genesis Evangelion,1,8,N/A,TV Tokyo
Click,1,8,N/A,BBC News
Titans,1,8,HBO Max,
His Dark Materials,1,8,N/A,BBC One
Riot,1,8,N/A,FOX
Aftermath,1,8,Naver TVCast,
Split,1,8,Prime Video,
Siren,1,8,N/A,Fuji TV
The Building,1,8,N/A,CBS
Babylon Berlin,1,8,N/A,Sky 1
The Four,1,8,N/A,Hunan TV
