name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Mayo,N/A,BBC One,13,0,63,0,1,7,36,0,1,,177,0,1
Home,Apple TV+,,13,7,59,23,1,4,48,17,1,,258,56,1
Boardwalk Empire,N/A,HBO,13,13,38,38,1,12,17,15,1,,57,50,1
Harlem,Prime Video,,13,11,25,22,1,12,18,14,1,,46,35,1
Wanted,N/A,SBS,12,12,109,109,1,3,55,31,4,20-01-2023,391,177,1
The White Lotus,N/A,HBO,12,11,106,87,2,2,64,29,4,,420,217,1
Ted Lasso,Apple TV+,,12,11,69,66,3,1,54,28,3,,317,163,1
Kept,N/A,VH1,12,10,40,22,1,9,31,22,1,,125,77,1
Evil,Paramount+,,12,11,25,23,2,-1,66,30,2,,287,119,1
Godfather of Harlem,N/A,MGM+,12,11,24,22,1,11,17,14,1,,45,35,1
The Godfather,N/A,DMC,12,12,24,24,1,10,18,16,1,,48,40,1
Severance,Apple TV+,,11,10,117,129,5,-13,104,51,5,,775,438,1
Blind,TVING,tvN,11,3,90,54,1,6,39,13,2,20-01-2023,251,123,1
Sent,N/A,HBO Asia,11,2,86,27,1,2,52,7,1,,269,26,1
Huge,N/A,FreeForm,11,10,66,62,1,2,32,23,1,,152,125,1
The Premise,Hulu,,11,11,65,65,1,2,35,26,1,,169,132,1
Believe,N/A,NBC,11,10,51,53,1,3,47,28,3,20-01-2023,230,128,1
Missing,N/A,BBC One,11,10,45,34,1,9,34,20,1,,149,69,1
The Missing,N/A,Discovery Channel,11,10,45,34,1,9,29,20,1,,124,69,1
Case,N/A,Stöð 2,11,10,38,37,1,5,43,23,1,,182,108,1
The Great,Hulu,,11,8,37,31,1,4,47,19,2,20-01-2023,186,98,1
Family,N/A,ITV1,11,11,33,33,5,1,63,32,5,,358,155,1
