name,streaming,network,mentions,score,week added,largest week,largest week amt
Stephen,N/A,ITV1,77,369,2,2,5
The Audience,N/A,Channel 4,77,332,1,31,6
Memory,N/A,tvN,76,521,1,32,4
Explained,Netflix,,76,350,2,50,7
Russian Doll,Netflix,,76,332,2,16,7
His Dark Materials,BBC iPlayer,,75,469,2,49,10
Legacy,Youku,,75,440,1,18,11
Survive,Quibi,,75,425,1,11,6
Connected,Netflix,,74,445,1,6,4
Snowpiercer,N/A,TNT,74,398,1,4,10
House of Drag,TVNZ+,,73,556,13,31,10
The Night Of,N/A,HBO,73,481,1,3,6
The Spa,N/A,Sky Witness,73,461,1,15,6
Simon,N/A,France 5,73,432,1,34,6
Dark Winds,AMC+,,73,401,21,26,11
Gentleman Jack,N/A,BBC One,73,364,1,19,7
Night Sky,Prime Video,,73,330,17,18,18
Cheers,N/A,Telecinco,73,226,1,4,4
The Devil's Hour,Prime Video,,72,521,20,42,15
Obsessed,N/A,A&E,72,481,2,19,6
Harley Quinn,HBO Max,,72,440,1,30,8
Grant,N/A,History,72,402,1,25,5
The Edge,N/A,FOX,72,386,2,43,4
Echo,Disney+,,72,384,1,45,12
Undone,Prime Video,,72,342,6,16,10
Pandemic,N/A,Hallmark Channel,71,426,1,4,6
Noir,N/A,TV Tokyo,71,365,1,7,7
Clue,N/A,Discovery Family,71,329,1,11,5
Truth,Youku,,71,287,1,6,4
Downton Abbey,N/A,ITV1,70,445,1,10,5
Harry,N/A,ABC,70,380,1,1,10
Bling,N/A,ITV1,70,380,1,2,5
Inventing Anna,Netflix,,70,361,6,7,15
Fear,N/A,MTV,70,351,2,33,5
Trauma,N/A,ICI Radio-Canada Télé,70,350,2,29,6
Catastrophe,N/A,Super Écran,70,300,1,43,5
This Is Us,N/A,NBC,70,289,1,18,7
The Good Fight,Paramount+,,70,273,1,39,8
Hunters,Prime Video,,70,272,2,36,6
Grace,N/A,HBO Asia,69,410,2,20,7
Fish,N/A,ABC,69,409,3,6,6
Smith,N/A,CBS,69,401,1,31,5
The Terminal List,Prime Video,,69,336,22,25,16
Suspect,N/A,Channel 4,69,324,1,39,6
Welcome to Wrexham,Hulu,FX,68,471,27,32,10
Suspicion,Apple TV+,,68,423,5,6,15
Vice Principals,N/A,HBO,68,419,2,12,10
Chase,N/A,NBC,68,408,2,19,9
The West,N/A,PBS,68,338,1,41,9
Doctor Who,N/A,BBC One,68,312,1,29,7
Perry Mason,N/A,HBO,68,308,1,7,9
The Net,N/A,USA Network,68,203,1,1,5
Somebody Somewhere,N/A,HBO,67,510,3,10,7
Shameless,N/A,Channel 4,67,504,1,23,13
