,mentions,score,network,streaming
Love Is Blind,1,8,,Netflix
The Writer,1,8,MBC Drama,N/A
Partner Track,1,8,,Netflix
Based on a True Story,1,8,,Peacock
Snake in the Grass,1,8,USA Network,N/A
Gotham,1,7,FOX,N/A
Happy Valley,1,7,BBC One,N/A
Avatar: The Last Airbender,1,7,,Netflix
Narcos,1,7,,Netflix
Laid,1,7,ABC,N/A
Fish,1,7,ABC,N/A
The Veil,1,7,MBC,N/A
This Country,1,7,,BBC Three
Unspeakable,1,7,CBC,N/A
Fate: The Winx Saga,1,7,,Netflix
Memories,1,7,,Viu
It's Fine,1,7,,Prime Video
Sunday,1,7,See,N/A
Brett,1,7,BBC One,N/A
The Simpsons,1,6,FOX,N/A
Cops,1,6,Paramount Network,N/A
Naruto,1,6,TV Tokyo,Crunchyroll
Jail,1,6,Paramount Network,N/A
The Corner,1,6,HBO,N/A
Ares,1,6,,Netflix
Delhi Crime,1,6,,Netflix
Sisyphus,1,6,,iQIYI
Candy,1,6,,Voot
Sisyphus: The Myth,1,6,jTBC,N/A
The Cops,1,6,BBC Two,N/A
Dallas,1,5,CBS,N/A
Suburgatory,1,5,ABC,N/A
3 Days,1,5,SBS,N/A
Roommate,1,5,SBS,N/A
Trigun,1,5,TV Tokyo,N/A
Chemistry,1,5,Cinemax,N/A
Accused,1,5,FOX,N/A
Dynasty,1,5,The CW,N/A
Jackie Chan Adventures,1,5,The WB,N/A
Flowers,1,5,Channel 4,N/A
Gun,1,5,ABC,N/A
Dad,1,5,BBC One,N/A
Otherworld,1,5,CBS,N/A
My Girl,1,5,,Youku
Innocent,1,5,ITV,N/A
Bliss,1,5,Sky Showcase,N/A
The Chi,1,5,Showtime,N/A
Evolve,1,5,History,N/A
The Unknown,1,5,,Crackle
